file_id,file_disagreement,range,genre,message-trigger,place
Chci_spravedlnost_pro_dceru.txt,0.182,1.0,0.333,0.333,0.042
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,0.212,0.0,0.0,1.0,0.167
Tvrdík_skončil_jako_viceprezident.txt,0.212,1.0,0.0,0.667,0.083
