file,rater_1.csv,rater_2.csv,rater_3.csv,majority,worst_case
Chci_spravedlnost_pro_dceru.txt,True,True,True,True,False
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,False,False,False,False,True
Tvrdík_skončil_jako_viceprezident.txt,True,True,True,True,False
